Order_ID,Order_Date,Ship_Mode,Segment,Region,Category,Sub_Category,Sales,Quantity,Discount,Profit,Year,Month,YearMonth,Profit_Margin
ORD-1017,2023-09-09,Same Day,Consumer,West,Office Supplies,Appliances,610.32,3,0.2,-49.41,2023,9,2023-09,-8.1
ORD-1018,2022-02-07,Second Class,Corporate,East,Office Supplies,Storage,158.77,2,0.0,25.2,2022,2,2022-02,15.87
ORD-1019,2022-04-18,First Class,Consumer,West,Office Supplies,Appliances,431.13,2,0.3,-66.62,2022,4,2022-04,-15.45
ORD-1020,2023-06-16,Standard Class,Consumer,Central,Office Supplies,Binders,278.89,6,0.3,-8.93,2023,6,2023-06,-3.2
ORD-1021,2021-02-23,First Class,Home Office,East,Furniture,Furnishings,103.45,1,0.0,16.52,2021,2,2021-02,15.97
ORD-1022,2021-06-02,First Class,Consumer,South,Office Supplies,Storage,337.03,5,0.0,50.26,2021,6,2021-06,14.91
ORD-1023,2023-03-27,Standard Class,Corporate,East,Office Supplies,Appliances,612.18,4,0.1,20.36,2023,3,2023-03,3.33
ORD-1024,2023-01-20,Standard Class,Consumer,West,Furniture,Bookcases,1491.6,6,0.0,79.83,2023,1,2023-01,5.35
ORD-1025,2022-03-29,Second Class,Corporate,Central,Office Supplies,Paper,135.04,4,0.0,29.91,2022,3,2022-03,22.15
ORD-1026,2022-06-02,Standard Class,Consumer,Central,Technology,Copiers,6606.38,3,0.4,-331.34,2022,6,2022-06,-5.02
ORD-1027,2023-09-08,Standard Class,Home Office,East,Furniture,Furnishings,559.4,7,0.0,96.42,2023,9,2023-09,17.24
ORD-1028,2023-05-04,Standard Class,Corporate,East,Office Supplies,Storage,418.98,7,0.0,72.33,2023,5,2023-05,17.26
ORD-1029,2023-01-29,Standard Class,Corporate,Central,Office Supplies,Storage,190.06,2,0.3,-12.39,2023,1,2023-01,-6.52
ORD-1030,2022-02-04,Standard Class,Consumer,East,Furniture,Chairs,2222.65,6,0.0,116.77,2022,2,2022-02,5.25
ORD-1031,2021-05-30,Standard Class,Consumer,West,Furniture,Tables,1692.97,2,0.0,-182.28,2021,5,2021-05,-10.77
ORD-1032,2023-10-01,Second Class,Corporate,West,Furniture,Chairs,1272.35,4,0.0,42.12,2023,10,2023-10,3.31
ORD-1033,2022-01-05,Standard Class,Consumer,East,Furniture,Bookcases,864.16,4,0.0,20.68,2022,1,2022-01,2.39
ORD-1034,2023-03-02,Same Day,Consumer,East,Office Supplies,Paper,232.69,7,0.0,53.61,2023,3,2023-03,23.04
ORD-1035,2023-06-16,Standard Class,Consumer,West,Technology,Laptops,5474.38,5,0.0,803.11,2023,6,2023-06,14.67
ORD-1036,2023-12-29,Standard Class,Consumer,East,Technology,Copiers,9179.23,7,0.3,479.33,2023,12,2023-12,5.22
ORD-1037,2021-12-23,Standard Class,Corporate,East,Technology,Copiers,9243.88,7,0.4,-155.29,2021,12,2021-12,-1.68
ORD-1038,2022-05-31,First Class,Consumer,West,Technology,Accessories,762.15,7,0.3,-9.01,2022,5,2022-05,-1.18
ORD-1039,2022-11-22,Standard Class,Corporate,Central,Office Supplies,Storage,305.78,3,0.0,54.33,2022,11,2022-11,17.77
ORD-1040,2022-05-14,Standard Class,Consumer,South,Technology,Phones,1060.29,2,0.0,115.72,2022,5,2022-05,10.91
ORD-1041,2023-04-06,Standard Class,Consumer,South,Technology,Laptops,4247.26,5,0.4,-881.94,2023,4,2023-04,-20.76
ORD-1042,2021-07-11,Second Class,Consumer,East,Office Supplies,Appliances,668.81,3,0.0,61.75,2021,7,2021-07,9.23
ORD-1043,2021-10-06,Standard Class,Corporate,Central,Furniture,Tables,563.4,1,0.0,-43.91,2021,10,2021-10,-7.79
ORD-1044,2022-01-31,Standard Class,Home Office,East,Furniture,Chairs,1867.27,5,0.0,91.79,2022,1,2022-01,4.92
ORD-1045,2023-12-29,Standard Class,Consumer,South,Office Supplies,Storage,252.38,3,0.0,33.51,2023,12,2023-12,13.28
ORD-1046,2023-07-24,Standard Class,Consumer,South,Office Supplies,Storage,488.1,6,0.0,84.57,2023,7,2023-07,17.33
ORD-1047,2023-07-02,First Class,Corporate,East,Technology,Copiers,11582.43,5,0.0,3050.29,2023,7,2023-07,26.34
ORD-1048,2021-12-05,Standard Class,Consumer,East,Office Supplies,Paper,134.32,5,0.2,15.69,2021,12,2021-12,11.68
ORD-1049,2023-05-26,Standard Class,Corporate,South,Office Supplies,Paper,200.52,6,0.0,48.09,2023,5,2023-05,23.98
ORD-1050,2022-04-21,Standard Class,Consumer,East,Technology,Laptops,5741.79,5,0.1,406.88,2022,4,2022-04,7.09
ORD-1051,2023-07-23,First Class,Consumer,West,Furniture,Furnishings,618.42,5,0.0,128.75,2023,7,2023-07,20.82
ORD-1052,2021-02-16,First Class,Home Office,West,Office Supplies,Paper,23.85,1,0.0,6.67,2021,2,2021-02,27.97
ORD-1053,2023-01-06,Standard Class,Consumer,Central,Furniture,Bookcases,1100.48,6,0.0,18.32,2023,1,2023-01,1.66
ORD-1054,2023-05-19,Standard Class,Consumer,West,Furniture,Tables,573.28,1,0.0,-61.95,2023,5,2023-05,-10.81
ORD-1055,2022-01-25,Standard Class,Corporate,West,Furniture,Chairs,555.32,2,0.0,47.29,2022,1,2022-01,8.52
ORD-1056,2022-01-09,Standard Class,Consumer,West,Office Supplies,Storage,77.72,1,0.5,-20.0,2022,1,2022-01,-25.73
ORD-1057,2021-04-15,First Class,Home Office,Central,Furniture,Bookcases,428.6,3,0.0,1.94,2021,4,2021-04,0.45
ORD-1058,2023-09-24,Standard Class,Home Office,Central,Furniture,Chairs,1905.87,5,0.2,-219.48,2023,9,2023-09,-11.52
ORD-1059,2022-03-25,Standard Class,Consumer,East,Technology,Accessories,98.39,1,0.0,20.28,2022,3,2022-03,20.61
ORD-1060,2021-09-25,Standard Class,Corporate,West,Furniture,Tables,706.12,1,0.0,-40.53,2021,9,2021-09,-5.74
ORD-1061,2022-08-01,Second Class,Consumer,East,Technology,Accessories,203.78,3,0.0,38.9,2022,8,2022-08,19.09
ORD-1062,2021-09-06,Standard Class,Corporate,East,Furniture,Tables,3960.99,6,0.3,-1315.53,2021,9,2021-09,-33.21
ORD-1063,2023-02-24,First Class,Consumer,East,Office Supplies,Binders,104.49,4,0.0,21.66,2023,2,2023-02,20.73
ORD-1064,2023-01-31,Standard Class,Consumer,East,Technology,Accessories,442.19,7,0.0,87.7,2023,1,2023-01,19.83
ORD-1065,2022-10-29,First Class,Consumer,Central,Technology,Copiers,12430.6,5,0.0,3274.6,2022,10,2022-10,26.34
ORD-1066,2022-10-07,Standard Class,Consumer,Central,Furniture,Tables,616.98,1,0.3,-211.18,2022,10,2022-10,-34.23
ORD-1067,2021-08-27,Second Class,Corporate,East,Furniture,Tables,3158.55,6,0.0,-346.95,2021,8,2021-08,-10.98
ORD-1068,2022-10-01,Standard Class,Consumer,South,Technology,Accessories,415.34,6,0.2,25.7,2022,10,2022-10,6.19
ORD-1069,2023-07-08,Second Class,Consumer,Central,Technology,Accessories,587.87,6,0.0,142.28,2023,7,2023-07,24.2
ORD-1070,2022-12-15,Standard Class,Consumer,East,Furniture,Furnishings,583.04,7,0.0,98.91,2022,12,2022-12,16.96
ORD-1071,2021-08-21,Standard Class,Consumer,West,Office Supplies,Appliances,828.57,5,0.0,94.63,2021,8,2021-08,11.42
ORD-1072,2022-11-23,Standard Class,Consumer,East,Furniture,Furnishings,202.55,2,0.0,36.44,2022,11,2022-11,17.99
ORD-1073,2022-09-16,Standard Class,Consumer,East,Office Supplies,Binders,181.38,4,0.0,39.6,2022,9,2022-09,21.83
ORD-1074,2022-07-02,Standard Class,Corporate,West,Office Supplies,Storage,697.0,7,0.0,122.01,2022,7,2022-07,17.51
ORD-1075,2021-07-13,Second Class,Consumer,West,Office Supplies,Paper,210.61,7,0.0,56.93,2021,7,2021-07,27.03
ORD-1076,2021-04-23,Standard Class,Consumer,West,Office Supplies,Appliances,499.45,4,0.0,43.61,2021,4,2021-04,8.73
ORD-1077,2023-06-21,Standard Class,Consumer,East,Technology,Copiers,3664.76,2,0.0,1036.89,2023,6,2023-06,28.29
ORD-1078,2023-02-24,Second Class,Consumer,West,Office Supplies,Appliances,178.71,1,0.0,16.93,2023,2,2023-02,9.47
ORD-1079,2022-01-11,Standard Class,Corporate,East,Office Supplies,Paper,113.97,3,0.0,25.53,2022,1,2022-01,22.4
ORD-1080,2021-09-27,First Class,Corporate,Central,Furniture,Furnishings,293.24,4,0.0,58.32,2021,9,2021-09,19.89
ORD-1081,2022-02-06,Standard Class,Consumer,Central,Furniture,Furnishings,755.78,7,0.3,-39.72,2022,2,2022-02,-5.26
ORD-1082,2022-05-18,First Class,Consumer,East,Furniture,Chairs,605.07,2,0.3,-104.4,2022,5,2022-05,-17.25
ORD-1083,2023-11-05,Second Class,Corporate,West,Office Supplies,Storage,595.38,7,0.0,103.38,2023,11,2023-11,17.36
ORD-1084,2021-10-16,Second Class,Corporate,Central,Technology,Phones,2276.59,6,0.1,90.24,2021,10,2021-10,3.96
ORD-1085,2021-08-04,First Class,Consumer,Central,Technology,Phones,1760.58,4,0.2,-107.4,2021,8,2021-08,-6.1
ORD-1086,2023-03-05,Standard Class,Consumer,West,Office Supplies,Paper,94.02,3,0.2,11.05,2023,3,2023-03,11.75
ORD-1087,2022-01-31,First Class,Consumer,East,Technology,Accessories,177.66,2,0.0,40.27,2022,1,2022-01,22.67
ORD-1088,2023-06-07,First Class,Consumer,West,Office Supplies,Appliances,956.05,5,0.0,99.98,2023,6,2023-06,10.46
ORD-1089,2023-02-18,First Class,Consumer,Central,Furniture,Chairs,1540.5,7,0.0,61.51,2023,2,2023-02,3.99
ORD-1090,2023-07-25,Standard Class,Home Office,West,Office Supplies,Binders,239.93,7,0.0,45.61,2023,7,2023-07,19.01
ORD-1091,2021-03-16,Standard Class,Consumer,Central,Technology,Phones,2544.59,6,0.0,341.61,2021,3,2021-03,13.42
ORD-1092,2021-01-25,Standard Class,Home Office,East,Technology,Copiers,10279.83,7,0.0,2762.07,2021,1,2021-01,26.87
ORD-1093,2023-08-25,Second Class,Consumer,Central,Technology,Laptops,1235.47,1,0.0,166.64,2023,8,2023-08,13.49
ORD-1094,2023-09-17,Standard Class,Consumer,West,Office Supplies,Binders,244.69,7,0.2,7.58,2023,9,2023-09,3.1
ORD-1095,2021-01-18,Standard Class,Consumer,East,Office Supplies,Binders,43.5,1,0.0,8.76,2021,1,2021-01,20.14
ORD-1096,2023-07-14,Standard Class,Corporate,East,Furniture,Tables,6198.38,7,0.0,-581.13,2023,7,2023-07,-9.38
ORD-1097,2023-10-29,First Class,Home Office,Central,Furniture,Bookcases,195.52,1,0.0,2.3,2023,10,2023-10,1.18
ORD-1098,2023-10-04,Standard Class,Corporate,East,Furniture,Chairs,707.68,2,0.5,-236.23,2023,10,2023-10,-33.38
ORD-1099,2023-01-05,Standard Class,Corporate,Central,Office Supplies,Appliances,1486.73,7,0.0,111.7,2023,1,2023-01,7.51
ORD-1100,2021-03-23,Second Class,Home Office,West,Technology,Phones,1203.69,2,0.0,132.59,2021,3,2021-03,11.02
ORD-1101,2023-07-23,Second Class,Consumer,Central,Furniture,Bookcases,1030.24,6,0.3,-233.69,2023,7,2023-07,-22.68
ORD-1102,2021-05-08,Standard Class,Home Office,South,Office Supplies,Binders,36.38,1,0.0,7.8,2021,5,2021-05,21.44
ORD-1103,2021-01-04,First Class,Consumer,Central,Furniture,Chairs,598.07,2,0.0,27.71,2021,1,2021-01,4.63
ORD-1104,2021-02-03,Standard Class,Corporate,West,Office Supplies,Binders,34.43,1,0.0,7.34,2021,2,2021-02,21.32
ORD-1105,2021-06-17,First Class,Home Office,West,Technology,Accessories,179.26,2,0.1,21.6,2021,6,2021-06,12.05
ORD-1106,2021-05-10,Standard Class,Corporate,South,Furniture,Furnishings,493.57,4,0.0,76.71,2021,5,2021-05,15.54
ORD-1107,2021-07-06,Standard Class,Consumer,Central,Technology,Accessories,631.28,7,0.4,-67.04,2021,7,2021-07,-10.62
ORD-1108,2023-08-16,Standard Class,Consumer,South,Technology,Copiers,6036.07,3,0.0,1788.21,2023,8,2023-08,29.63
ORD-1109,2021-02-11,Second Class,Consumer,West,Technology,Phones,392.62,1,0.2,-8.65,2021,2,2021-02,-2.2
ORD-1110,2023-03-28,Standard Class,Consumer,Central,Technology,Laptops,5638.54,5,0.1,345.52,2023,3,2023-03,6.13
ORD-1111,2022-01-09,First Class,Corporate,West,Office Supplies,Storage,623.88,6,0.3,-50.66,2022,1,2022-01,-8.12
ORD-1112,2022-12-12,Second Class,Consumer,Central,Technology,Laptops,743.76,1,0.0,122.67,2022,12,2022-12,16.49
ORD-1113,2023-04-07,Standard Class,Consumer,West,Office Supplies,Binders,307.9,7,0.1,28.72,2023,4,2023-04,9.33
ORD-1114,2023-09-22,Standard Class,Consumer,East,Furniture,Bookcases,564.77,4,0.0,23.59,2023,9,2023-09,4.18
ORD-1115,2023-09-09,First Class,Corporate,East,Office Supplies,Appliances,194.64,1,0.0,18.61,2023,9,2023-09,9.56
ORD-1116,2023-01-29,Standard Class,Home Office,South,Furniture,Bookcases,963.23,5,0.4,-262.07,2023,1,2023-01,-27.21
ORD-1117,2023-01-18,Standard Class,Consumer,South,Furniture,Tables,719.24,1,0.0,-61.93,2023,1,2023-01,-8.61
ORD-1118,2021-01-03,Standard Class,Corporate,West,Furniture,Furnishings,426.71,5,0.0,71.59,2021,1,2021-01,16.78
ORD-1119,2022-02-03,Standard Class,Home Office,West,Technology,Phones,438.36,1,0.0,64.61,2022,2,2022-02,14.74
ORD-1120,2021-01-11,First Class,Consumer,Central,Technology,Copiers,12197.39,6,0.0,3774.73,2021,1,2021-01,30.95
ORD-1121,2021-08-14,First Class,Consumer,West,Office Supplies,Storage,64.08,1,0.0,10.69,2021,8,2021-08,16.68
ORD-1122,2023-11-10,Standard Class,Consumer,East,Technology,Accessories,170.8,2,0.0,37.73,2023,11,2023-11,22.09
ORD-1123,2023-06-12,Standard Class,Corporate,East,Office Supplies,Storage,380.31,7,0.3,-26.01,2023,6,2023-06,-6.84
ORD-1124,2023-07-10,First Class,Consumer,East,Furniture,Bookcases,469.26,2,0.2,-56.63,2023,7,2023-07,-12.07
ORD-1125,2023-07-03,Standard Class,Consumer,East,Technology,Copiers,14833.64,6,0.0,4504.51,2023,7,2023-07,30.37
ORD-1126,2022-11-29,Standard Class,Consumer,South,Technology,Phones,1273.68,3,0.1,55.97,2022,11,2022-11,4.39
ORD-1127,2022-07-25,Standard Class,Home Office,West,Office Supplies,Storage,182.76,3,0.0,24.55,2022,7,2022-07,13.43
ORD-1128,2022-07-11,Standard Class,Corporate,South,Technology,Accessories,164.13,2,0.3,-8.16,2022,7,2022-07,-4.97
ORD-1129,2022-08-12,First Class,Consumer,Central,Technology,Accessories,352.43,5,0.0,68.74,2022,8,2022-08,19.5
ORD-1130,2023-05-06,Second Class,Consumer,East,Furniture,Furnishings,560.65,5,0.0,109.7,2023,5,2023-05,19.57
ORD-1131,2021-02-06,Standard Class,Consumer,East,Office Supplies,Storage,469.56,5,0.0,78.06,2021,2,2021-02,16.62
ORD-1132,2022-12-06,Standard Class,Consumer,South,Technology,Copiers,12254.12,6,0.0,3704.32,2022,12,2022-12,30.23
ORD-1133,2022-04-05,Standard Class,Corporate,South,Office Supplies,Appliances,835.45,7,0.2,-56.55,2022,4,2022-04,-6.77
ORD-1134,2022-05-31,Standard Class,Consumer,Central,Technology,Accessories,61.72,1,0.3,-1.13,2022,5,2022-05,-1.83
ORD-1135,2023-11-12,Second Class,Consumer,Central,Technology,Copiers,4812.92,3,0.4,-293.28,2023,11,2023-11,-6.09
ORD-1136,2022-07-24,Same Day,Home Office,East,Office Supplies,Appliances,772.54,4,0.1,1.56,2022,7,2022-07,0.2
ORD-1137,2023-12-20,Standard Class,Home Office,South,Office Supplies,Paper,141.56,6,0.0,32.45,2023,12,2023-12,22.92
ORD-1138,2022-11-24,Standard Class,Corporate,East,Furniture,Bookcases,991.63,4,0.0,27.49,2022,11,2022-11,2.77
ORD-1139,2023-10-14,Standard Class,Corporate,West,Furniture,Tables,1936.86,4,0.0,-181.79,2023,10,2023-10,-9.39
ORD-1140,2021-12-04,Standard Class,Consumer,Central,Technology,Phones,3732.18,6,0.1,184.44,2021,12,2021-12,4.94
ORD-1141,2022-02-05,Standard Class,Consumer,Central,Office Supplies,Binders,194.69,4,0.0,38.93,2022,2,2022-02,20.0
ORD-1142,2021-01-02,First Class,Corporate,Central,Office Supplies,Paper,21.32,1,0.0,4.73,2021,1,2021-01,22.19
ORD-1143,2021-05-02,Standard Class,Home Office,West,Furniture,Tables,1657.51,2,0.0,-115.66,2021,5,2021-05,-6.98
ORD-1144,2021-08-11,First Class,Consumer,South,Technology,Accessories,95.71,1,0.3,-0.68,2021,8,2021-08,-0.71
ORD-1145,2021-07-27,Second Class,Consumer,Central,Furniture,Bookcases,805.13,4,0.2,-105.59,2021,7,2021-07,-13.11
ORD-1146,2021-03-28,Standard Class,Consumer,West,Technology,Laptops,2922.05,4,0.3,-341.43,2021,3,2021-03,-11.68
ORD-1147,2021-10-15,Standard Class,Home Office,South,Furniture,Furnishings,219.56,3,0.0,41.54,2021,10,2021-10,18.92
ORD-1148,2021-02-04,Standard Class,Corporate,East,Furniture,Bookcases,675.48,5,0.0,10.44,2021,2,2021-02,1.55
ORD-1149,2023-03-16,First Class,Consumer,East,Office Supplies,Storage,364.42,4,0.2,-3.54,2023,3,2023-03,-0.97
ORD-1150,2022-08-01,Second Class,Consumer,East,Furniture,Chairs,2607.76,7,0.0,121.55,2022,8,2022-08,4.66
ORD-1151,2021-01-21,Standard Class,Consumer,East,Office Supplies,Appliances,968.86,7,0.2,-63.64,2021,1,2021-01,-6.57
ORD-1152,2023-04-17,Standard Class,Home Office,Central,Office Supplies,Paper,175.49,6,0.0,47.78,2023,4,2023-04,27.23
ORD-1153,2023-06-10,Standard Class,Corporate,East,Furniture,Chairs,386.0,1,0.0,26.79,2023,6,2023-06,6.94
ORD-1154,2021-10-14,Standard Class,Consumer,East,Office Supplies,Appliances,632.93,3,0.0,56.87,2021,10,2021-10,8.99
ORD-1155,2023-08-30,Standard Class,Consumer,East,Office Supplies,Binders,30.69,1,0.0,5.92,2023,8,2023-08,19.29
ORD-1156,2021-06-05,First Class,Consumer,Central,Furniture,Furnishings,823.91,7,0.0,129.12,2021,6,2021-06,15.67
ORD-1157,2023-10-22,Standard Class,Consumer,West,Technology,Accessories,480.08,7,0.0,93.77,2023,10,2023-10,19.53
ORD-1158,2021-05-06,Same Day,Consumer,West,Furniture,Furnishings,166.71,2,0.5,-35.87,2021,5,2021-05,-21.52
ORD-1159,2022-01-19,Standard Class,Corporate,West,Furniture,Bookcases,988.8,6,0.1,-67.13,2022,1,2022-01,-6.79
ORD-1160,2022-06-01,Standard Class,Corporate,Central,Office Supplies,Binders,201.88,7,0.1,28.32,2022,6,2022-06,14.03
ORD-1161,2021-10-30,First Class,Consumer,South,Office Supplies,Paper,20.2,1,0.4,-1.18,2021,10,2021-10,-5.84
ORD-1162,2021-12-27,Second Class,Home Office,Central,Technology,Copiers,3398.41,2,0.0,972.96,2021,12,2021-12,28.63
ORD-1163,2022-08-12,Second Class,Home Office,East,Office Supplies,Binders,298.14,7,0.3,-13.64,2022,8,2022-08,-4.58
ORD-1164,2023-05-01,First Class,Home Office,East,Office Supplies,Paper,178.15,5,0.0,45.01,2023,5,2023-05,25.27
ORD-1165,2023-04-08,Standard Class,Corporate,West,Furniture,Furnishings,456.34,5,0.0,78.67,2023,4,2023-04,17.24
ORD-1166,2023-08-20,Second Class,Consumer,West,Technology,Accessories,504.15,6,0.0,124.57,2023,8,2023-08,24.71
ORD-1167,2021-10-31,Standard Class,Consumer,South,Office Supplies,Binders,152.64,5,0.0,29.56,2021,10,2021-10,19.37
ORD-1168,2022-02-11,Standard Class,Home Office,East,Office Supplies,Appliances,338.54,3,0.0,41.94,2022,2,2022-02,12.39
ORD-1169,2023-02-26,Standard Class,Consumer,West,Office Supplies,Storage,122.46,2,0.0,18.54,2023,2,2023-02,15.14
ORD-1170,2022-11-01,Standard Class,Corporate,Central,Office Supplies,Appliances,313.58,2,0.5,-87.99,2022,11,2022-11,-28.06
ORD-1171,2023-08-17,Standard Class,Consumer,East,Technology,Copiers,1974.81,1,0.0,607.8,2023,8,2023-08,30.78
ORD-1172,2022-07-13,Standard Class,Consumer,East,Office Supplies,Binders,73.69,3,0.0,14.81,2022,7,2022-07,20.1
ORD-1173,2022-11-13,Standard Class,Corporate,East,Office Supplies,Storage,64.94,1,0.2,-1.53,2022,11,2022-11,-2.36
ORD-1174,2023-09-20,Second Class,Corporate,Central,Furniture,Tables,5053.35,7,0.0,-332.45,2023,9,2023-09,-6.58
ORD-1175,2022-02-23,Standard Class,Consumer,South,Technology,Phones,1519.79,4,0.0,160.21,2022,2,2022-02,10.54
ORD-1176,2022-09-29,Standard Class,Home Office,Central,Technology,Phones,3802.56,7,0.0,420.05,2022,9,2022-09,11.05
ORD-1177,2023-10-03,Standard Class,Corporate,Central,Office Supplies,Paper,85.12,4,0.3,-0.72,2023,10,2023-10,-0.85
ORD-1178,2023-04-08,Standard Class,Corporate,East,Technology,Phones,1051.85,2,0.0,135.07,2023,4,2023-04,12.84
ORD-1179,2021-12-08,Standard Class,Corporate,West,Furniture,Bookcases,795.57,6,0.0,17.32,2021,12,2021-12,2.18
ORD-1180,2022-03-29,Standard Class,Consumer,South,Furniture,Furnishings,515.01,5,0.2,0.12,2022,3,2022-03,0.02
ORD-1181,2023-09-07,Standard Class,Corporate,East,Furniture,Bookcases,728.47,3,0.0,17.45,2023,9,2023-09,2.4
ORD-1182,2021-10-13,Standard Class,Corporate,West,Office Supplies,Appliances,612.04,5,0.0,71.78,2021,10,2021-10,11.73
ORD-1183,2022-04-26,Second Class,Corporate,South,Office Supplies,Appliances,990.28,7,0.0,74.53,2022,4,2022-04,7.53
ORD-1184,2021-11-07,Standard Class,Home Office,South,Furniture,Bookcases,1451.06,6,0.0,86.38,2021,11,2021-11,5.95
ORD-1185,2021-05-14,Standard Class,Consumer,South,Technology,Accessories,300.73,3,0.0,58.6,2021,5,2021-05,19.49
ORD-1186,2021-09-23,Same Day,Consumer,East,Technology,Laptops,992.35,1,0.0,127.84,2021,9,2021-09,12.88
ORD-1187,2023-06-18,Standard Class,Corporate,Central,Technology,Copiers,5286.95,3,0.0,1438.33,2023,6,2023-06,27.21
ORD-1188,2023-11-02,Standard Class,Consumer,West,Technology,Phones,1652.89,4,0.0,192.35,2023,11,2023-11,11.64
ORD-1189,2022-10-25,Second Class,Consumer,West,Office Supplies,Binders,101.9,3,0.0,18.5,2022,10,2022-10,18.16
ORD-1190,2022-04-02,Second Class,Consumer,West,Furniture,Tables,3946.79,7,0.0,-405.4,2022,4,2022-04,-10.27
ORD-1191,2023-02-24,Second Class,Corporate,West,Technology,Copiers,10175.88,5,0.0,2924.89,2023,2,2023-02,28.74
ORD-1192,2023-02-07,Standard Class,Corporate,East,Furniture,Bookcases,853.17,5,0.0,24.65,2023,2,2023-02,2.89
ORD-1193,2022-02-09,Standard Class,Consumer,West,Furniture,Chairs,2105.44,6,0.0,149.19,2022,2,2022-02,7.09
ORD-1194,2021-12-04,Standard Class,Consumer,West,Office Supplies,Binders,240.05,5,0.0,42.39,2021,12,2021-12,17.66
ORD-1195,2022-05-25,Standard Class,Consumer,East,Furniture,Furnishings,469.89,4,0.0,88.86,2022,5,2022-05,18.91
ORD-1196,2022-02-01,Second Class,Consumer,Central,Office Supplies,Binders,47.91,1,0.2,1.39,2022,2,2022-02,2.9
ORD-1197,2021-08-20,First Class,Consumer,Central,Furniture,Chairs,1788.63,5,0.0,95.12,2021,8,2021-08,5.32
ORD-1198,2022-04-12,Standard Class,Consumer,East,Technology,Phones,2736.46,5,0.0,357.97,2022,4,2022-04,13.08
ORD-1199,2022-10-26,First Class,Corporate,West,Technology,Accessories,109.56,1,0.1,14.37,2022,10,2022-10,13.12
ORD-1200,2022-07-17,Second Class,Home Office,West,Furniture,Bookcases,533.79,3,0.0,26.6,2022,7,2022-07,4.98
ORD-1201,2021-12-26,Same Day,Consumer,West,Furniture,Bookcases,248.97,1,0.1,-19.76,2021,12,2021-12,-7.94
ORD-1202,2021-07-09,Standard Class,Corporate,West,Technology,Phones,4340.52,7,0.2,-227.58,2021,7,2021-07,-5.24
ORD-1203,2023-06-11,Standard Class,Home Office,South,Office Supplies,Binders,55.28,2,0.0,12.48,2023,6,2023-06,22.58
ORD-1204,2023-03-01,Standard Class,Corporate,West,Furniture,Bookcases,625.31,4,0.0,7.41,2023,3,2023-03,1.19
ORD-1205,2021-02-08,Standard Class,Corporate,South,Office Supplies,Storage,66.07,1,0.0,10.45,2021,2,2021-02,15.82
ORD-1206,2021-08-24,Second Class,Corporate,West,Office Supplies,Paper,77.62,3,0.2,5.91,2021,8,2021-08,7.61
ORD-1207,2021-10-10,Second Class,Consumer,East,Office Supplies,Paper,47.57,2,0.0,12.86,2021,10,2021-10,27.03
ORD-1208,2021-01-19,Second Class,Corporate,Central,Furniture,Chairs,2317.15,7,0.3,-398.14,2021,1,2021-01,-17.18
ORD-1209,2022-05-30,First Class,Corporate,Central,Technology,Laptops,805.08,1,0.0,131.06,2022,5,2022-05,16.28
